instrument_id,archive_url,body,country,effective_date,fetched_at,jurisdiction,lead_source,next_event,notes,notice,operative_text,source_url,state,status,status_date,status_quote,summary,text_licence,title,type,url,verification
ca-evidence-act-section-31-1,https://web.archive.org/web/20260907222304/https://laws-lois.justice.gc.ca/eng/acts/C-5/section-31.1.html,Electronic-document authentication rule,CA,,2026-09-07T00:00:00Z,canada,"[""Justice Laws website"", ""User brief""]",,,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Any person seeking to admit an electronic document as evidence has the burden of proving its authenticity by evidence capable of supporting a finding that the electronic document is that which it is purported to be.,https://laws-lois.justice.gc.ca/eng/acts/C-5/section-31.1.html,,in-force,2026-09-07,Any person seeking to admit an electronic document as evidence has the burden of proving its authenticity.,"Canada Evidence Act section 31.1 is not AI-specific, but it supplies the authentication burden repeatedly applied in Canadian deepfake and digital-evidence cases. It requires proof capable of supporting a finding that an electronic document is what it purports to be.",quoted-short,Canada Evidence Act section 31.1,rule,https://safelegalai.com/courts/evidence/rules/ca-evidence-act-section-31-1,fetched-and-read
us-fre-901c-draft,https://web.archive.org/web/20260907222159/https://www.uscourts.gov/sites/default/files/document/2026-05-evidence-rules-agenda-book.pdf,Deepfake authentication burden-shifting draft,US,,2026-09-07T00:00:00Z,us-federal,"[""May 2026 Evidence Rules agenda book""]",Potential publication for public comment was discussed for the Spring 2026 meeting; no final text was advanced in the checked drafts.,,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer","Rule 901(c). Potentially Fabricated Evidence Created by Generative Artificial Intelligence. (1) Showing Required to Warrant an Inquiry into Fabrication. If a party challenges the authenticity of an item of evidence on the ground that it has been fabricated, in whole or in part, by generative artificial intelligence, the party must present evidence sufficient to support a finding of fabrication to warrant an inquiry by the court. (2) Showing Then Required by the Proponent. If the opponent makes that showing, the item of evidence is admissible only if the proponent demonstrates to the court that it is more likely than not authentic. (3) Applicability. This rule applies to items offered under either Rule 901 or 902. (4) Notice. Unless the court orders otherwise, a party claiming that an item is fabricated in whole or part by generative artificial intelligence must provide reasonable pretrial notice to all opposing parties of the intent to present evidence of fabrication, so that the opposing parties have a reasonable opportunity to respond to that evidence before trial. (5) Definitions. In this rule, generative artificial intelligence means a computer system that emulates the structure and characteristics of input data in order to create derived synthetic content, including images, video, audio, text, and other digital content.",https://www.uscourts.gov/sites/default/files/document/2026-05-evidence-rules-agenda-book.pdf,,under-study,2026-05-07,The Committee has largely coalesced on what a rule amendment might look like.,"Draft Rule 901(c) would require an opponent to make a threshold showing that generative AI fabrication warrants inquiry, then require the proponent to prove authenticity by a preponderance. The May 2026 agenda treats the draft as under study pending survey results and committee action.",public-domain,Draft Federal Rule of Evidence 901(c),proposed-rule,https://safelegalai.com/courts/evidence/rules/us-fre-901c-draft,fetched-and-read
us-fre-707-proposed,https://web.archive.org/web/20260907222159/https://www.uscourts.gov/sites/default/files/document/2026-05-evidence-rules-agenda-book.pdf,Machine-generated evidence reliability gatekeeping,US,,2026-09-07T00:00:00Z,us-federal,"[""U.S. Courts pending rules page"", ""May 2026 Evidence Rules agenda book""]",No Evidence Rule 707 appears in the August 2026 preliminary draft; monitor future Evidence Rules agenda books.,"August 2026 preliminary draft was checked and did not include AI-relevant Rule 707 text. Status quote is from the Advisory Committee's May 2026 report to the Standing Committee; the June 2026 Standing Committee agenda advanced Evidence Rules 104 and 902, not 707; the August 2026 preliminary draft carries no Rule 707 text (checked 8 Sep 2026).","Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer","Rule 707. Machine-Generated Evidence When machine-generated evidence is offered without an expert witness and would be subject to Rule 702 if testified to by a witness, the court may admit the evidence only if it satisfies the requirements of Rule 702(a)-(d). This rule does not apply to the output of simple scientific instruments.",https://www.uscourts.gov/sites/default/files/document/advisory_committee_on_evidence_rules_may_2026.pdf,,not-advanced,2026-05-07,The Committee does not recommend action on the proposed Rule 707 at this time.,The Advisory Committee published proposed Rule 707 in August 2025 to apply Rule 702 reliability standards when machine-generated evidence substitutes for expert testimony. The May 2026 agenda reflects continued study and controversy rather than advancement to the next rulemaking stage.,public-domain,Proposed Federal Rule of Evidence 707,proposed-rule,https://safelegalai.com/courts/evidence/rules/us-fre-707-proposed,fetched-and-read
us-fjc-deepfake-survey-2026,https://web.archive.org/web/20260907222159/https://www.uscourts.gov/sites/default/files/document/2026-05-evidence-rules-agenda-book.pdf,Survey of federal judges about deepfake evidence,US,,2026-09-07T00:00:00Z,us-federal,"[""May 2026 Evidence Rules agenda book""]",,,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",The FJC survey summary reported in the May 2026 Evidence Rules agenda book found that some federal judges had encountered deepfake issues and most respondents favored a rule. The survey informed the committee’s continued work on draft Rule 901(c).,https://www.uscourts.gov/sites/default/files/document/2026-05-evidence-rules-agenda-book.pdf,,published,2026-03-25,15 of the responding judges have encountered deepfake issues.,"The Federal Judicial Center survey was requested to test whether deepfakes are a real courtroom problem. Its summary in the agenda book reports judicial encounters with deepfake issues and majority support for a rule, providing empirical support for further Rule 901(c) consideration.",public-domain,Federal Judicial Center deepfake survey,survey,https://safelegalai.com/courts/evidence/rules/us-fjc-deepfake-survey-2026,fetched-and-read
us-ncsc-unack-ai-evidence-bench-card,http://web.archive.org/web/20251009075314/https://ncsc.contentdm.oclc.org/digital/api/collection/tech/id/1244/download,Bench card for alleged deepfake evidence,US,,2026-09-07T00:00:00Z,us-state,"[""NCSC/TRI AI Policy Consortium""]",,NCSC content treated as copyrighted; only short quotations used.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer","Courts should ask about source, access, preservation, chain of custody, alterations, corroboration, forensic verification, metadata, and expert testimony.",https://ncsc.contentdm.oclc.org/digital/api/collection/tech/id/1244/download,,published,2026-01,Treat the evidence with heightened scrutiny if the source is questionable.,"The NCSC/TRI deepfake bench card supplies questions for evidence offered as authentic but challenged as AI-generated or altered. It directs courts to probe source, custody, preservation, metadata, corroboration, forensic tools, and expert assistance before admitting disputed digital evidence.",quoted-short,NCSC/TRI bench card: unacknowledged AI-generated evidence,bench-card,https://safelegalai.com/courts/evidence/rules/us-ncsc-unack-ai-evidence-bench-card,fetched-and-read
us-ncsc-ack-ai-evidence-bench-card,https://web.archive.org/web/20260907222229/https://ncsc.contentdm.oclc.org/digital/api/collection/tech/id/1243/download,Bench card for disclosed AI exhibits,US,,2026-09-07T00:00:00Z,us-state,"[""NCSC/TRI AI Policy Consortium""]",,NCSC content treated as copyrighted; only short quotations used.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",AI-generated exhibits should be clearly labelled for the fact-finder at all times.,https://ncsc.contentdm.oclc.org/digital/api/collection/tech/id/1243/download,,published,2026-01,ANY USE OF AI-GENERATED EXHIBITS should be clearly labelled as such.,"The NCSC/TRI bench card guides judges when AI use is acknowledged, including enhanced images, simulations, data analysis, and biometric tools. It emphasizes labeling, process reliability, preservation of source material, chain of custody, and expert assistance where appropriate.",quoted-short,NCSC/TRI bench card: acknowledged AI-generated evidence,bench-card,https://safelegalai.com/courts/evidence/rules/us-ncsc-ack-ai-evidence-bench-card,fetched-and-read
uk-judiciary-ai-guidance-2025-deepfakes,,Judicial guidance on fake AI material,GB,,2026-09-07T00:00:00Z,uk,"[""UK Judiciary guidance page"", ""judiciary.uk copyright page""]",,,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer","AI tools are now being used to produce fake material, including text, images and video. Courts and tribunals have always had to handle forgeries, and allegations of forgery, involving varying levels of sophistication. Judges should be aware of this new possibility and potential challenges posed by deepfake technology.",https://www.judiciary.uk/guidance-and-resources/artificial-intelligence-ai-guidance-for-judicial-office-holders/,,published,2025-10,Judges should be aware of this new possibility and potential challenges posed by deepfake technology.,"The October 2025 UK judicial guidance warns that AI can create fake text, image, and video material and that judges should be alert to deepfakes and hidden white-text prompts. The judiciary.uk copyright page confirms Crown copyright material is licensed under the Open Government Licence unless otherwise indicated.",ogl,"UK Judiciary AI Guidance (October 2025), deepfakes",guidance,https://safelegalai.com/courts/evidence/rules/uk-judiciary-ai-guidance-2025-deepfakes,fetched-and-read
us-ca-judicial-council-ai-rule-2025,https://web.archive.org/web/20260907222434/https://jcc.legistar.com/LegislationDetail.aspx?ID=7425777&GUID=1091093C-1D8C-42BC-A848-C66A662F53B1,Generative AI guardrails for California court-related work,US,2025-09-01,2026-09-07T00:00:00Z,us-state,"[""California Judicial Council AI Task Force page"", ""User brief""]",,Official Legistar item was readable. No separate evidence-specific exhibit rule was located; this row records the statewide AI court-work framework requested by the brief.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer","Adopt California Rules of Court, rule 10.430 and California Standards of Judicial Administration, standard 10.80, to address the use of generative artificial intelligence for court-related work.",https://jcc.legistar.com/LegislationDetail.aspx?ID=7425777&GUID=1091093C-1D8C-42BC-A848-C66A662F53B1,CA,in-force,2025-09-01,The Artificial Intelligence Task Force recommends adopting one rule of court and one standard of judicial administration.,"The California Judicial Council adopted Rule 10.430 and Standard 10.80 for responsible generative AI use in court-related work. The framework is not an evidence-admissibility rule, but it addresses oversight, confidentiality, public trust, and disclosure of court-generated AI materials.",quoted-short,California Judicial Council Rule 10.430 and Standard 10.80,guidance,https://safelegalai.com/courts/evidence/rules/us-ca-judicial-council-ai-rule-2025,fetched-and-read
us-la-act-250-2025,https://web.archive.org/web/20260817152331/https://www.legis.la.gov/legis/ViewDocument.aspx?d=1425558,Louisiana AI/falsified evidence civil procedure amendments,US,2025-08-01,2026-09-07T00:00:00Z,us-state,"[""User brief"", ""Louisiana Legislature/WAYBACK PDF""]",,Direct legis.la.gov failed DNS from this environment; a Wayback PDF copy was fetched and read.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer","An attorney shall exercise reasonable diligence to verify the authenticity of evidence before offering it to the court. If an attorney knew or should have known through the exercise of reasonable diligence that evidence was false or artificially manipulated, the offering of that evidence without disclosure of that fact shall be considered a violation of this Article.",https://legis.la.gov/Legis/ViewDocument.aspx?d=1425558,LA,in-force,2025-08-01,The Article's use of artificial intelligence is broad and encompasses the suspected use of deepfakes.,"Louisiana Act 250 amends civil procedure to require attorney diligence before offering evidence and pretrial disclosure or challenge of exhibits suspected to be falsified, AI-generated, or altered. It adds explicit deepfake-related comments to pretrial authenticity and admissibility management.",public-domain,Louisiana Act 250 / House Bill 178 (2025),statute,https://safelegalai.com/courts/evidence/rules/us-la-act-250-2025,fetched-and-read
in-bsa-2023-section-63,,Electronic-record admissibility rule,IN,2024-07-01,2026-09-07T00:00:00Z,india,"[""India Code official portal"", ""User brief""]",,India Code returned HTTP 403 to fetch; section text should be verified manually from the official portal or Gazette.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Electronic or digital records are admissible as documents if the statutory computer-output conditions and certificate requirements in section 63 are satisfied.,https://www.indiacode.nic.in/handle/123456789/20063?sam_handle=123456789/1362,,in-force,2024-07-01,,"Section 63 is not AI-specific, but it governs admissibility of electronic and digital records in India through computer-output conditions and certificates. It is included as a baseline electronic-records rule relevant to AI-generated or AI-processed evidence.",quoted-short,"Bharatiya Sakshya Adhiniyam, 2023 section 63",rule,https://safelegalai.com/courts/evidence/rules/in-bsa-2023-section-63,link-only
